top_n,algorithm,dataset,scene,synonyms,depictions,vis_sim,clutter,incorrect,missing
top_1,bare,hm3d,00824,0.09348807202061603,0.0,0.0011838511612624876,0.0759395377370253,0.5912135666654192,0.23817497241558527
top_1,bare,hm3d,00829,0.07790980671209205,0.00455183356869625,0.007451382930944412,0.03323817232730702,0.6470766544431625,0.2297721500162156
top_1,bare,hm3d,00843,0.04081050967668548,0.0,0.014066012928236542,0.04270555512894292,0.6364484911081665,0.26596943115656285
top_1,bare,hm3d,00847,0.08058580223156539,0.0,0.007600389739813422,0.024842850765878836,0.6607099284656337,0.22626102879743917
top_1,bare,hm3d,00873,0.06583708753749405,0.003535997951314516,0.001623939353169973,0.07218333939035627,0.6209383029727832,0.23588133279527682
top_1,bare,hm3d,00877,0.08718929251169731,9.046264226548127e-05,0.0060557754815721955,0.05607788243297253,0.6466208084198873,0.20396577851131054
top_1,bare,hm3d,00890,0.0634574958871222,0.002694475186363571,0.016134355249691118,0.0668355074240653,0.6504794837635328,0.20039868248961104
top_1,bare,replica,office0,0.14285760736258946,0.0,0.0,0.30349004017589576,0.4522778270737484,0.10137452538783648
top_1,bare,replica,office1,0.05739178508269926,0.0,0.17889865815518466,0.08903567637968833,0.588289712329187,0.08638416805308739
top_1,bare,replica,office2,0.08240803081257564,0.0,0.005716511245799272,0.1236820681491201,0.6916409935828611,0.09655239620964393
top_1,bare,replica,office3,0.12824345643280366,0.0006410256410256409,0.018850145317371895,0.3164385958017862,0.40232737776713967,0.13349939903987357
top_1,bare,replica,office4,0.05704266277383989,0.0,0.0012753068707157661,0.3495991480536941,0.42248069110539643,0.16960219119629624
top_1,bare,replica,room0,0.24220010037495715,0.00017471410419313854,0.010996500280787826,0.28226550850609766,0.34615295267082435,0.11821022406325692
top_1,bare,replica,room1,0.1555414254159762,0.0024760062452738514,0.04461677657337727,0.37510937855323584,0.3348487152061047,0.08740769800611999
top_1,bare,replica,room2,0.24435402785211738,0.0,0.0,0.10073000784652011,0.5274878490141611,0.12742811528720072
top_1,bare,scannetpp,0a76e06478,0.0400311472211805,0.010681064075216741,2.4464163466278392e-06,0.0850283722689593,0.48993882898662394,0.37431814103092703
top_1,bare,scannetpp,0a7cc12c0e,0.03499091646043934,0.003207537560478735,0.01834536640020943,0.14708523240685206,0.484408451721773,0.31196249544954724
top_1,bare,scannetpp,1f7cbbdde1,0.05849252640516378,0.0,0.007543127523153636,0.16734954300335228,0.5318410282535339,0.2347737748146148
top_1,bare,scannetpp,49a82360aa,0.026873625661299985,0.0025679766668326967,0.0043200236170020095,0.028463245756063914,0.5480338549538672,0.38974127334354197
top_1,bare,scannetpp,4c5c60fa76,0.03994401123755259,0.002914566761794859,0.0034288035478417657,0.036808230266115786,0.5515274112295084,0.3653769769574615
top_1,bare,scannetpp,8a35ef3cfe,0.08322793762470052,0.0,0.000300358038468873,0.02708940026209915,0.3913511606708531,0.49803114340538895
top_1,bare,scannetpp,c0f5742640,0.023727670260292332,0.00788875116999237,0.0044169447072195,0.08344285100317367,0.42511824627662104,0.45540553658324967
top_1,bare,scannetpp,fd361ab85f,0.10831382467712405,0.0,0.005007370849890969,0.06068584668983525,0.45811296328551915,0.36787999449740444
top_1,concept-fusion,hm3d,00824,0.08655549433243791,0.011858556417096794,0.013607612537196102,0.029169936449959504,0.8145198332127065,0.04428856705110282
top_1,concept-fusion,hm3d,00829,0.07656760513585659,0.0005889065891590425,0.009138247265021673,0.010328942974719476,0.8484882692178898,0.0548880288157629
top_1,concept-fusion,hm3d,00843,0.04784788990759125,0.006722433206176556,0.0026851260718308706,0.020319040313712403,0.8774938070959835,0.04493170340334827
top_1,concept-fusion,hm3d,00847,0.08428416964257014,0.0001928890255186151,0.009567573785183822,0.038793507281395995,0.6769653004676384,0.19019655979849429
top_1,concept-fusion,hm3d,00873,0.11494928309475033,0.020247672190893858,0.0038034438336753203,0.04167361480382126,0.768310089368317,0.05101589670953104
top_1,concept-fusion,hm3d,00877,0.10825292641965834,0.010155579101477389,0.0055902514164861,0.030485859656299463,0.7522528349552562,0.09326254845095563
top_1,concept-fusion,hm3d,00890,0.08972595080498598,0.0022882735590055246,0.015120625286961677,0.03839175845868956,0.773784807115432,0.08068858477530211
top_1,concept-fusion,replica,office0,0.13694921071746888,0.011475353626468208,0.0094147873361382,0.06610280730537195,0.7749770058631572,0.0010808351515085217
top_1,concept-fusion,replica,office1,0.1187398761088516,0.0009861932938856016,0.15055087982966933,0.03512229396341155,0.6898945754900605,0.004706181314048114
top_1,concept-fusion,replica,office2,0.11058347030112824,0.010483565316262928,0.045781220752565015,0.11219557144647897,0.7182409913717993,0.0027151808117183503
top_1,concept-fusion,replica,office3,0.0942043756899214,0.0076659763935978936,0.027077800115898994,0.09111427137045829,0.7765625064133077,0.0033750700169156993
top_1,concept-fusion,replica,office4,0.11730039172968534,0.0011184584894923777,0.034773871557934245,0.09407375733149102,0.7502701202816867,0.002463400609958473
top_1,concept-fusion,replica,room0,0.17549645785078308,0.013483190507371337,0.03353340886608894,0.07930937231650934,0.6825160780420754,0.015661492417331557
top_1,concept-fusion,replica,room1,0.22639570959560995,0.007460835252910698,0.04837913738941353,0.15877957269302007,0.5573710503271486,0.0016136947419214604
top_1,concept-fusion,replica,room2,0.2493665034383549,0.011128008369733083,0.032557209116342536,0.08067697713994042,0.6187847558084164,0.007486546127182818
top_1,concept-fusion,scannetpp,0a76e06478,0.14726494425918427,0.029506324932596494,0.013117071509155764,0.0497662902980236,0.7378171466213302,0.022528222379022682
top_1,concept-fusion,scannetpp,0a7cc12c0e,0.11614422005392554,0.023117043079497593,0.017324657969549233,0.050688055297307265,0.7626388029118942,0.030087220687445296
top_1,concept-fusion,scannetpp,1f7cbbdde1,0.172375898183192,0.009622484905830191,0.024052818245274273,0.08009681477513467,0.664520135005063,0.04933184888491797
top_1,concept-fusion,scannetpp,49a82360aa,0.09958619563225912,0.01274451720899218,0.019624868699560198,0.030134466107603133,0.8198541408130865,0.01805581153830558
top_1,concept-fusion,scannetpp,4c5c60fa76,0.14193851312278416,0.015355342639736088,0.006308138315201408,0.018155825338107445,0.7900724349930625,0.02816974559133907
top_1,concept-fusion,scannetpp,8a35ef3cfe,0.15731955269426154,0.0013572199734153282,0.007021655621219526,0.012912417909682153,0.7553576812684759,0.06603147252991111
top_1,concept-fusion,scannetpp,c0f5742640,0.07705022050800864,0.012000828434037932,0.01781857607601624,0.04766306630030738,0.7628002498059955,0.08266705887566528
top_1,concept-fusion,scannetpp,fd361ab85f,0.24503430727015632,0.006934032983508263,0.012197012006705725,0.048595354906505336,0.6413170102522734,0.045922282579853826
top_1,concept-graphs,hm3d,00824,0.113677360156987,0.020299052485285313,0.011818115172998545,0.05479809474644805,0.7011573450871526,0.0982500323508511
top_1,concept-graphs,hm3d,00829,0.06211866981850994,0.0032928950498333593,0.030738483724295454,0.0373050385596739,0.7639629209011081,0.10258199194484707
top_1,concept-graphs,hm3d,00843,0.05789373006934472,0.007858439201451586,0.009005194631611025,0.0134947303657428,0.7993460017297908,0.11240190400083347
top_1,concept-graphs,hm3d,00847,0.109011662844826,0.0,0.006998026746817351,0.03560377018954905,0.7540471251297812,0.09433941509086431
top_1,concept-graphs,hm3d,00873,0.11010774907922992,0.00928951367781162,0.022305822984802968,0.054379392445556396,0.7579327475979636,0.045984774215222464
top_1,concept-graphs,hm3d,00877,0.1441076300748689,0.010501721037413115,0.0,0.04207221830673761,0.7350372531683259,0.06828117741316062
top_1,concept-graphs,hm3d,00890,0.09676123319318419,0.005310079319394876,0.014646121711144421,0.0490639948421502,0.7644773932506731,0.06974117768372066
top_1,concept-graphs,replica,office0,0.09684321655799871,0.016666666666666795,0.0,0.06601580353990892,0.8153169640740392,0.005157349161538449
top_1,concept-graphs,replica,office1,0.07348402545380453,0.0,0.15827259235536573,0.0033052697860130086,0.7492594141298491,0.01567869827495654
top_1,concept-graphs,replica,office2,0.049954047968209035,0.015774027879677202,0.07720872260442312,0.2336273086711993,0.6141314132954045,0.009304479581062211
top_1,concept-graphs,replica,office3,0.19755542618700872,0.03458973038896328,0.04593912451266208,0.17339341636071787,0.526049358616299,0.022472943934478788
top_1,concept-graphs,replica,office4,0.16363819396055157,0.0,0.06548066835086035,0.10683288623593407,0.6191494689931466,0.04489878245956745
top_1,concept-graphs,replica,room0,0.29112200599885313,0.0,0.024257877725707786,0.14558053204570606,0.5238570949245153,0.015182489305387528
top_1,concept-graphs,replica,room1,0.2725634879119935,0.0,0.056868640444090054,0.18041905734120423,0.48803557143340653,0.0021132428693655817
top_1,concept-graphs,replica,room2,0.29004150667151185,0.0020751412616065753,0.04971598145581628,0.09775803956208767,0.5402077421710018,0.02020158887797696
top_1,concept-graphs,scannetpp,0a76e06478,0.09593489962844506,0.0002672994213624815,0.023494708060974104,0.05254048297768742,0.7015215240513074,0.1262410858595508
top_1,concept-graphs,scannetpp,0a7cc12c0e,0.14586031538901315,0.02867392812809782,0.024051624461020698,0.06894839778513819,0.6656890453130615,0.06677668892297894
top_1,concept-graphs,scannetpp,1f7cbbdde1,0.12949959419274126,0.013352448954383814,0.01857091509030923,0.1172993534178506,0.6101585184539231,0.11111916989029348
top_1,concept-graphs,scannetpp,49a82360aa,0.10754742954069468,0.019831376972919423,0.016657707040157243,0.04127037835663994,0.6837104413995385,0.13098266668939
top_1,concept-graphs,scannetpp,4c5c60fa76,0.1522802332488154,0.011269384220499199,0.011924861303927253,0.04317620881123826,0.7145421016976786,0.06680721071799585
top_1,concept-graphs,scannetpp,8a35ef3cfe,0.10452646630211918,0.006436292680929823,0.007989082603145061,0.012107669240741793,0.7225270570092076,0.14641343216148095
top_1,concept-graphs,scannetpp,c0f5742640,0.05377857301026957,0.013371487778906625,0.016566951747010592,0.031204731151503132,0.6970523889995283,0.18802586731292156
top_1,concept-graphs,scannetpp,fd361ab85f,0.14622145339756876,0.0,0.013692154851941757,0.02386590216493108,0.6098826011214434,0.20633788846442344
top_1,openmask3d,hm3d,00824,0.13551282100838904,0.010172410315833089,0.01011991199048009,0.0893314737356729,0.43994839678481373,0.3149149861651504
top_1,openmask3d,hm3d,00829,0.15935687373245258,0.0,0.03664659377202643,0.07068171712445713,0.4963997073258547,0.2369151080448635
top_1,openmask3d,hm3d,00843,0.11932363728896904,0.0,0.020931417321889984,0.035601535639803596,0.5157555255860996,0.3083878841636686
top_1,openmask3d,hm3d,00847,0.11105428907248635,0.0,0.0,0.030984780282253314,0.6105593129239467,0.24740161772124797
top_1,openmask3d,hm3d,00873,0.15210422328230386,0.006238610913162889,0.0048092344402901515,0.09615292439907133,0.45548768280754504,0.28520732415800826
top_1,openmask3d,hm3d,00877,0.18686182765092338,0.0,0.004923869114177807,0.04837392832418108,0.4248469775767552,0.33499339733386485
top_1,openmask3d,hm3d,00890,0.16824467888600445,0.0,0.015095675669945989,0.12774697126097087,0.3863281165133957,0.30258455767000575
top_1,openmask3d,replica,office0,0.23335955989377233,0.0035316490084216067,0.0,0.35726664338002934,0.17483852388750099,0.23100362383027154
top_1,openmask3d,replica,office1,0.11487168503324548,0.0,0.11162809146295866,0.029936700246657153,0.6471816528389819,0.09638187041804494
top_1,openmask3d,replica,office2,0.27076279577085793,0.0,0.033112561329937285,0.44755369149656893,0.20920331166171202,0.03936763974099439
top_1,openmask3d,replica,office3,0.17243440556880943,0.0,0.016083152491937643,0.31791698269587454,0.4434015299147932,0.05016392932857278
top_1,openmask3d,replica,office4,0.36614366625920486,0.0,0.0006952333394181966,0.2499099689872045,0.36255992917031205,0.020691202243843132
top_1,openmask3d,replica,room0,0.30074519842788383,0.0,0.010107058982058898,0.2672766164094415,0.3138481047561586,0.10802302142457151
top_1,openmask3d,replica,room1,0.3271132832550023,0.0,0.0004110339788089148,0.20248433873143717,0.3275565725974225,0.14243477143738598
top_1,openmask3d,replica,room2,0.3804445831337678,0.015037593984962445,0.014572787237306354,0.16005494577671942,0.3460986210607473,0.08379146880648485
top_1,openmask3d,scannetpp,0a76e06478,0.2150662092095077,0.01046982690587669,0.023602797221330712,0.1732041111823464,0.37328727429246156,0.20436978118818971
top_1,openmask3d,scannetpp,0a7cc12c0e,0.07511097605610945,0.0,0.009035524636733235,0.1823832503164624,0.5830826100597162,0.15038763893049595
top_1,openmask3d,scannetpp,1f7cbbdde1,0.08604675062120325,0.008208328333133284,0.01346993676933417,0.19277182547074925,0.5651884829254663,0.13431467587914678
top_1,openmask3d,scannetpp,49a82360aa,0.10948378555787311,0.0,0.01245881501466773,0.3052908669891185,0.512755102207479,0.06001143022998296
top_1,openmask3d,scannetpp,4c5c60fa76,0.08176262455476521,0.0,0.02031905054255002,0.09784993380284798,0.6512113195171855,0.1488570715819359
top_1,openmask3d,scannetpp,8a35ef3cfe,0.20492923356374235,0.0,0.015063820628473565,0.03385764719950237,0.6096559100532484,0.1364933885547624
top_1,openmask3d,scannetpp,c0f5742640,0.12866528640045924,0.008357956943857844,0.0,0.219829727675877,0.4925675351305448,0.15057949384980104
top_1,openmask3d,scannetpp,fd361ab85f,0.2914053841886974,0.0164292853573214,7.835116165906521e-05,0.16576607459867712,0.463026305251677,0.06329459944081844
top_1,openmask3d_duplicated,hm3d,00824,0.13421560799389545,0.010251982897394981,0.010734049106385446,0.09249351258007155,0.43710701717154554,0.31519783025108195
top_1,openmask3d_duplicated,hm3d,00829,0.15882767120758706,0.0,0.03629051030513789,0.07021536286260158,0.4976601040353669,0.2370063515889796
top_1,openmask3d_duplicated,hm3d,00843,0.12165571503916044,0.0,0.02028251139298718,0.03459867793878037,0.5152262914514185,0.30823680417809396
top_1,openmask3d_duplicated,hm3d,00847,0.11537850146175666,0.0,0.0,0.03317373588230667,0.6039173525969547,0.24753041005900833
top_1,openmask3d_duplicated,hm3d,00873,0.14967886427138033,0.006238610913162889,0.004737485579493123,0.09343621830193945,0.46053717671875444,0.28537164421586697
top_1,openmask3d_duplicated,hm3d,00877,0.1834491174017342,0.0,0.005046404048362323,0.04794532819519715,0.42849871684055224,0.3350604335138787
top_1,openmask3d_duplicated,hm3d,00890,0.15953245207783134,5.169227588167638e-05,0.013338953021305722,0.12647610095348447,0.39788281970586575,0.30271798196579736
top_1,openmask3d_duplicated,replica,office0,0.20444144974921152,0.0072534637326813105,0.02134761077851929,0.29915311062318034,0.23678196542972454,0.2310223996866853
top_1,openmask3d_duplicated,replica,office1,0.13407691816421902,0.0,0.119392012530345,0.0407638890398171,0.6093675392305753,0.0963996410349223
top_1,openmask3d_duplicated,replica,office2,0.26787329672784793,0.0,0.03064811110219916,0.4030738025891628,0.25869984027663634,0.03970494930424201
top_1,openmask3d_duplicated,replica,office3,0.16382981560098475,0.0,0.016702100678150096,0.30753608364748897,0.46200406926686854,0.04992793080648568
top_1,openmask3d_duplicated,replica,office4,0.3230564299661173,0.0,0.000618292506918389,0.2316921872750029,0.42392121651511533,0.02071187373684158
top_1,openmask3d_duplicated,replica,room0,0.33104139199538624,0.0,0.011830565618560222,0.2553803161699072,0.2935955963904485,0.10815212982582108
top_1,openmask3d_duplicated,replica,room1,0.3432003839553427,0.0,0.00036536353671903543,0.19030509149912528,0.32359169232657253,0.14253746868230185
top_1,openmask3d_duplicated,replica,room2,0.36812318302434066,0.007660661086678961,0.019311970676807098,0.16769724927655583,0.3533788381396383,0.08382809779597025
top_1,openmask3d_duplicated,scannetpp,0a76e06478,0.22301449651917984,0.01046982690587669,0.020706757879048337,0.185245968962541,0.3561527118068375,0.20441023792619528
top_1,openmask3d_duplicated,scannetpp,0a7cc12c0e,0.07707083087101725,0.0,0.008338021469382076,0.16013151457785474,0.6035123938667607,0.15094723921453218
top_1,openmask3d_duplicated,scannetpp,1f7cbbdde1,0.08187518538022133,0.010316412656506338,0.020318484648521807,0.2487969003931075,0.5043237105023696,0.13436930641845637
top_1,openmask3d_duplicated,scannetpp,49a82360aa,0.12378345218606986,0.0,0.008657570477943313,0.35083611533982295,0.4566819134267659,0.060040948568567634
top_1,openmask3d_duplicated,scannetpp,4c5c60fa76,0.08099805010039228,0.0,0.015927736901124447,0.09400591914949778,0.6597245527048886,0.14934374114335225
top_1,openmask3d_duplicated,scannetpp,8a35ef3cfe,0.20556693495300857,0.0,0.01632151747113127,0.030988769349927933,0.6104114989507033,0.13671127927492358
top_1,openmask3d_duplicated,scannetpp,c0f5742640,0.1169813020569115,0.007003505423311806,0.0,0.18132931183155618,0.5439717375359254,0.15071414315286713
top_1,openmask3d_duplicated,scannetpp,fd361ab85f,0.2957348018688448,0.016398050974512805,8.659865236001941e-05,0.13842318777026688,0.4860606514322836,0.06329670930038858
top_1,openscene,replica,office0,0.0,0.0,0.0,0.046421281849572116,0.9010049424117257,0.05257377573886014
top_1,openscene,replica,office1,0.012664165103189498,0.0,0.05456719357100241,0.4606525508220995,0.4252545475808124,0.04686154292282874
top_1,openscene,replica,office2,0.0011997064375218543,0.0,0.0,0.18888955284878986,0.7210997987998584,0.0888109419138393
top_1,openscene,replica,office3,0.0,0.0,0.0,0.0010650887573964499,0.8759816695619853,0.12295324168083004
top_1,openscene,replica,office4,0.0,0.0,0.0,0.07460414871725515,0.8539941761864346,0.07140167509652551
top_1,openscene,replica,room0,0.0,0.0,0.0,0.00018720441408302663,0.926786211033965,0.07302658455184606
top_1,openscene,replica,room1,0.0,0.0,0.0050743104403332155,0.08589600504380235,0.8686066128043911,0.040423071711477375
top_1,openscene,replica,room2,0.0031308367917213505,0.0,0.024182117469877844,0.065516249029049,0.833639818472248,0.07353097823709313
top_10,bare,hm3d,00824,0.25331124853150183,0.005646760508436001,0.006272536165663768,0.17445124313255683,0.3221432392464798,0.23817497241558527
top_10,bare,hm3d,00829,0.2514002004158453,0.025540995351964697,0.010065837911841524,0.13836258451996966,0.344858231784397,0.2297721500162156
top_10,bare,hm3d,00843,0.22662936027737943,0.0,0.025789942698837755,0.13965827852510515,0.34195298734248414,0.26596943115656285
top_10,bare,hm3d,00847,0.29518560709711006,0.0,0.012926836587652764,0.14870357732186637,0.31692295019560157,0.22626102879743917
top_10,bare,hm3d,00873,0.20164637996338097,0.0046804334994193795,0.017612631648974284,0.21385513988710111,0.3263240822058303,0.23588133279527682
top_10,bare,hm3d,00877,0.23232589021957714,0.005085705894254596,0.019045446632117158,0.20424471655922344,0.3353324621836867,0.20396577851131054
top_10,bare,hm3d,00890,0.29230404126948817,0.0029407981615253813,0.02171833448336486,0.15863717097147137,0.32400097262453553,0.20039868248961104
top_10,bare,replica,office0,0.321255096797852,0.00040749796251018754,0.049641770841309905,0.4437733839686801,0.08354772504185391,0.10137452538783648
top_10,bare,replica,office1,0.36750894982799304,0.0,0.10377014600169901,0.17845639724786683,0.26388033886933804,0.08638416805308739
top_10,bare,replica,office2,0.17591867567932565,0.0,0.12222063678695105,0.1338665664871487,0.47144172483696006,0.09655239620964393
top_10,bare,replica,office3,0.46670284264190465,0.0006410256410256409,0.03118396182068869,0.1877599177874488,0.1802128530691749,0.13349939903987357
top_10,bare,replica,office4,0.2491164486439766,0.0,0.05865770130074938,0.29841438467367737,0.2242092741852836,0.16960219119629624
top_10,bare,replica,room0,0.35657662746688534,0.00020693059903849936,0.06556833795883213,0.31044324627610415,0.14899463363599447,0.11821022406325692
top_10,bare,replica,room1,0.30089106159206624,0.004131545516836579,0.18138573863147064,0.24071945589940785,0.18546450035414014,0.08740769800611999
top_10,bare,replica,room2,0.42069297910635645,0.0,0.056740388543485246,0.15183586705934457,0.243302650003561,0.12742811528720072
top_10,bare,scannetpp,0a76e06478,0.108414626627994,0.011490104295396007,0.061494543184782986,0.15092735198645651,0.2933552328739391,0.37431814103092703
top_10,bare,scannetpp,0a7cc12c0e,0.1439833812670348,0.003414311179017059,0.05363873574478575,0.17297191500606843,0.31402916135319214,0.31196249544954724
top_10,bare,scannetpp,1f7cbbdde1,0.1825992601508448,0.002797936124278415,0.02746334209413782,0.3074875000932276,0.24487818672300823,0.2347737748146148
top_10,bare,scannetpp,49a82360aa,0.11272716220910287,0.0,0.05456375476986252,0.24609064994388863,0.1968771597329482,0.38974127334354197
top_10,bare,scannetpp,4c5c60fa76,0.12259550483396435,0.0034401218793877453,0.024596674191570963,0.0980957262269171,0.38589499591127635,0.3653769769574615
top_10,bare,scannetpp,8a35ef3cfe,0.21219731883479281,0.0,0.02414194798401975,0.025197485656951353,0.2404321041191794,0.49803114340538895
top_10,bare,scannetpp,c0f5742640,0.0956164473683937,0.0028775647330340527,0.018581002791693463,0.23535124801134816,0.192168200512882,0.45540553658324967
top_10,bare,scannetpp,fd361ab85f,0.2242656236042265,0.0,0.0008223008265556437,0.23810097329343663,0.16893110777789333,0.36787999449740444
top_10,concept-fusion,hm3d,00824,0.3098769149403904,0.010224911521302124,0.016556453519766656,0.12659996003510246,0.4924531929322929,0.04428856705110282
top_10,concept-fusion,hm3d,00829,0.25402687121942913,0.01933991440213942,0.06326089615853765,0.11004174988485442,0.49844253951935386,0.0548880288157629
top_10,concept-fusion,hm3d,00843,0.23223541550090113,0.0057414692906212995,0.03043441707338151,0.09379728242325173,0.5928597123078581,0.04493170340334827
top_10,concept-fusion,hm3d,00847,0.31193201961921696,0.002256615551168737,0.02070518022107441,0.09953563834462512,0.37537398646538167,0.19019655979849429
top_10,concept-fusion,hm3d,00873,0.32945518311705985,0.021513692882710652,0.03465838052318927,0.10918187868343054,0.45417496808413915,0.05101589670953104
top_10,concept-fusion,hm3d,00877,0.3079120870380722,0.01889187947427444,0.017039097645511713,0.09535131945322002,0.46754306793772704,0.09326254845095563
top_10,concept-fusion,hm3d,00890,0.30762220726082756,0.006870322812593071,0.05670006664923904,0.08235174321666036,0.46576707528543626,0.08068858477530211
top_10,concept-fusion,replica,office0,0.37431934546340995,0.023906624216593883,0.05586599164191587,0.2662099582200985,0.2786172453065016,0.0010808351515085217
top_10,concept-fusion,replica,office1,0.40363570914796265,0.015685936647425396,0.21402217928340656,0.11637547531816361,0.24557451828893434,0.004706181314048114
top_10,concept-fusion,replica,office2,0.3426132049547188,0.0037587841150514755,0.07764682693311159,0.19280913563465232,0.38045686755084757,0.0027151808117183503
top_10,concept-fusion,replica,office3,0.3114817793542212,0.004100009579461646,0.09670631523745529,0.2345398139164081,0.34979701189561996,0.0033750700169156993
top_10,concept-fusion,replica,office4,0.397216525938592,0.013233408940791364,0.06670535189756985,0.21654987352271635,0.30383143909036203,0.002463400609958473
top_10,concept-fusion,replica,room0,0.35370605702874014,0.021532147716675144,0.10488907879493452,0.2362815004298934,0.26792972361253037,0.015661492417331557
top_10,concept-fusion,replica,room1,0.5233926107605336,0.030433814346925044,0.12139006335346311,0.1374024404890836,0.18576737630804996,0.0016136947419214604
top_10,concept-fusion,replica,room2,0.4878123360821924,0.0030998416207161455,0.06793627956649333,0.16818995586600266,0.26547504073734546,0.007486546127182818
top_10,concept-fusion,scannetpp,0a76e06478,0.40125015354782145,0.0474843426177029,0.04938372588249186,0.10693425448417342,0.37241930108771565,0.022528222379022682
top_10,concept-fusion,scannetpp,0a7cc12c0e,0.34360986847853336,0.017543759056481662,0.03147118860326686,0.11004538697943966,0.46724257619492277,0.030087220687445296
top_10,concept-fusion,scannetpp,1f7cbbdde1,0.3849462318153124,0.006679469939693053,0.05749776193213719,0.10036529532070586,0.40117939210688897,0.04933184888491797
top_10,concept-fusion,scannetpp,49a82360aa,0.26290938602967256,0.007124066375514669,0.061778009695309916,0.11909491787052372,0.5310378084904601,0.01805581153830558
top_10,concept-fusion,scannetpp,4c5c60fa76,0.3113088107451611,0.007948013586853231,0.033487172761943115,0.061435516860951,0.5576507404533612,0.02816974559133907
top_10,concept-fusion,scannetpp,8a35ef3cfe,0.36096242628059777,0.002880696521781154,0.0280894203013099,0.034027850940753335,0.5080081334271598,0.06603147252991111
top_10,concept-fusion,scannetpp,c0f5742640,0.2666100994334393,0.015281068673526993,0.06676921421512372,0.10397802245220077,0.4646945363502527,0.08266705887566528
top_10,concept-fusion,scannetpp,fd361ab85f,0.49098374461887234,0.0004997501249375313,0.02297944604544766,0.06287313656305972,0.37674164006788796,0.045922282579853826
top_10,concept-graphs,hm3d,00824,0.3465722100683552,0.017416870869398957,0.018327347399210468,0.16647658837443924,0.35295695093824303,0.0982500323508511
top_10,concept-graphs,hm3d,00829,0.26997323794133943,0.05108575646114042,0.05898444422434491,0.20350759048745679,0.31386697894118276,0.10258199194484707
top_10,concept-graphs,hm3d,00843,0.20230500294968343,0.014859123814144864,0.06022119054967823,0.14325736518771037,0.4669554134975739,0.11240190400083347
top_10,concept-graphs,hm3d,00847,0.41064618337144326,0.000463714351959193,0.03289934094913702,0.1286059005577059,0.33304544567877553,0.09433941509086431
top_10,concept-graphs,hm3d,00873,0.3749865355523648,0.04007931387029073,0.0226945619904938,0.1670975060285501,0.34915730834266007,0.045984774215222464
top_10,concept-graphs,hm3d,00877,0.40332773517770654,0.015413103714634458,0.03838208362778495,0.13171349982356445,0.3428824002432699,0.06828117741316062
top_10,concept-graphs,hm3d,00890,0.3547571458152818,0.015214773857571856,0.06148252502928319,0.20436070419578856,0.2944436734185844,0.06974117768372066
top_10,concept-graphs,replica,office0,0.3973740256742033,0.022969301820157294,0.13885190755221988,0.3710260668947028,0.06462134889720887,0.005157349161538449
top_10,concept-graphs,replica,office1,0.28879580968336416,0.029753265602322203,0.29122878742907976,0.13646625132547985,0.23807718768474545,0.01567869827495654
top_10,concept-graphs,replica,office2,0.48845696166158226,0.0006126378435147909,0.14923618481396686,0.2903162999906169,0.062073436109394475,0.009304479581062211
top_10,concept-graphs,replica,office3,0.5891520741265084,0.0,0.05181685077044869,0.21839050653324313,0.11816762463546769,0.022472943934478788
top_10,concept-graphs,replica,office4,0.5211711058965983,0.0,0.07422199704727465,0.18405118603685583,0.17565692855994794,0.04489878245956745
top_10,concept-graphs,replica,room0,0.5086608749536968,0.0,0.0987953079665985,0.28139546530744924,0.09596586246696279,0.015182489305387528
top_10,concept-graphs,replica,room1,0.7502848122352933,0.0007687356979405052,0.1130262005632907,0.08936314486565618,0.04444386376837999,0.0021132428693655817
top_10,concept-graphs,replica,room2,0.6049812883727322,0.0020751412616065753,0.05231798231999276,0.28213783057445163,0.03828616859312872,0.02020158887797696
top_10,concept-graphs,scannetpp,0a76e06478,0.31526867915655504,0.05447526946903981,0.1059022408914327,0.11136093865563616,0.28675178596726597,0.1262410858595508
