top_n,algorithm,dataset,scene,overall,secondary,secondary_inlier_rate,secondary_overshooting,secondary_undershooting,synonym_inlier_rate,synonym_undershooting,synonyms
top_1,concept-fusion,hm3d,00824,0.7810798035302221,0.7415525461201179,0.02631578947368421,0.02976190765159671,0.7518696849318768,0.05270280750736776,0.7820472706228097,0.7899880879295423
top_1,concept-fusion,hm3d,00829,0.8170226445914145,0.7367790056413598,0.024257224257224257,0.4370936365142436,0.7461966775759595,0.0746247365876522,0.8350166493514377,0.8333841051086727
top_1,concept-fusion,hm3d,00843,0.7559434345124283,0.7302268380958729,0.016712878171211504,0.40833333463229166,0.7403974298068702,0.060064935064935064,0.7830619040625921,0.7674437650981878
top_1,concept-fusion,hm3d,00847,0.7992481914322406,0.7436559913356537,0.029603729603729603,0.45925926071769546,0.7395145452046499,0.07681813466127192,0.7955396759884996,0.8092667956107846
top_1,concept-fusion,hm3d,00873,0.7787616629434514,0.7215866293840553,0.02076503099214285,0.4108218674297187,0.7154920781058933,0.08710871964068895,0.7997388848401876,0.8069519351199391
top_1,concept-fusion,hm3d,00877,0.7839352878628568,0.7049833784004133,0.01970111574854658,0.46995573944430047,0.7037147905560145,0.08540131083990733,0.7973115201077068,0.8093473484594874
top_1,concept-fusion,hm3d,00890,0.7708615462531998,0.7286831327016616,0.018421809811537907,0.5071111121883122,0.7200629979258739,0.06944959802102658,0.7829241605452523,0.7887659969957533
top_1,concept-fusion,replica,office0,0.7589610705273632,0.7558931064133603,0.05052206774011285,0.4133333345933333,0.7234395144019954,0.09236111111111112,0.7557236327303904,0.767790272937657
top_1,concept-fusion,replica,office1,0.8011411943547017,0.7481902056367314,0.045347947072085,0.23842592835228724,0.7848690782395173,0.06965488215488216,0.8543862936174489,0.8378958372536536
top_1,concept-fusion,replica,office2,0.7207128106712246,0.6881994576712627,0.03761203443021625,0.4906080039762569,0.6827991917526052,0.06123821924603175,0.7528075204812896,0.7499671823064004
top_1,concept-fusion,replica,office3,0.7219641533064176,0.6933413815820175,0.05118695626398708,0.5936688316993491,0.7035120254218236,0.09302660059239007,0.7531624967589495,0.7470706119408694
top_1,concept-fusion,replica,office4,0.754186067246417,0.6947311937029172,0.042653510420268284,0.37515873127657534,0.6983706807854524,0.103182384064737,0.7870061694632292,0.7937101416483364
top_1,concept-fusion,replica,room0,0.7401068828171258,0.7092735426382616,0.04867317552647107,0.4762780878792072,0.7369646466560636,0.13136345552075887,0.781394038310908,0.7667638516862907
top_1,concept-fusion,replica,room1,0.8233970176347102,0.7618985728566532,0.05965452371702371,0.4307359320497166,0.7629196731920276,0.1447687728937729,0.8389500601121854,0.8663402510217857
top_1,concept-fusion,replica,room2,0.7587642036328714,0.7154561867075138,0.04577595545640658,0.43626984209701974,0.6926384338010535,0.152989417989418,0.764612847915237,0.7952190714281216
top_1,concept-fusion,scannetpp,0a76e06478,0.7614447048815124,0.7275399363879311,0.035542823941624245,0.21494676075002003,0.6975616755570991,0.09494919762776906,0.7444497196581139,0.8037903004074922
top_1,concept-fusion,scannetpp,0a7cc12c0e,0.7491561037169787,0.7263877793244949,0.020913107511045654,0.30545635095726803,0.6900402217575924,0.08162623539982031,0.745448442045186,0.7729966106731992
top_1,concept-fusion,scannetpp,1f7cbbdde1,0.7504307364783814,0.7288257169291128,0.02365946805776173,0.3962148972653838,0.7121688152229816,0.10658383904652562,0.7503504848134916,0.7836766471571733
top_1,concept-fusion,scannetpp,49a82360aa,0.6820796703771701,0.6630278831088704,0.024225460074516675,0.41955267036823735,0.6549952627857251,0.06137746226241802,0.6735258265092086,0.7010821426219783
top_1,concept-fusion,scannetpp,4c5c60fa76,0.7282440861234415,0.6956710878508424,0.012797089859500189,0.40382936627609806,0.6795149313754063,0.07927849927849928,0.7132901967433458,0.7620328111969011
top_1,concept-fusion,scannetpp,8a35ef3cfe,0.7452605134889748,0.7314227928351911,0.028636151430269072,0.44047619162273244,0.7515229545546895,0.135345405767941,0.758221989453926,0.7587876356938829
top_1,concept-fusion,scannetpp,c0f5742640,0.7211647868638976,0.6968367332603822,0.013439955106621776,0.28240740880575765,0.6671940949222487,0.07517522541561003,0.7124514444732788,0.7458400640612842
top_1,concept-fusion,scannetpp,fd361ab85f,0.7835187441573119,0.7458680189763898,0.014675697865353037,0.5000000005555556,0.7271951443719927,0.14357142857142857,0.7858722557115144,0.8267650751995881
top_10,concept-fusion,hm3d,00824,0.7810798035302221,0.7415525461201179,0.02631578947368421,0.02976190765159671,0.7518696849318768,0.05270280750736776,0.7820472706228097,0.7899880879295423
top_10,concept-fusion,hm3d,00829,0.8170226445914145,0.7367790056413598,0.024257224257224257,0.4370936365142436,0.7461966775759595,0.0746247365876522,0.8350166493514377,0.8333841051086727
top_10,concept-fusion,hm3d,00843,0.75594342959319,0.730226850455727,0.016712878171211504,0.40833333463229166,0.7403974298068702,0.060064935064935064,0.7830619040625921,0.7674437342547119
top_10,concept-fusion,hm3d,00847,0.799248182208913,0.7436560032382445,0.029603729603729603,0.45925926071769546,0.7395145452046499,0.07681813466127192,0.7955396759884996,0.8092667558504653
top_10,concept-fusion,hm3d,00873,0.7787616669345916,0.721586626413194,0.02076503099214285,0.4108218674297187,0.7154920781058933,0.08710871964068895,0.7997388848401876,0.806951943785803
top_10,concept-fusion,hm3d,00877,0.7839353017261049,0.7049833722492799,0.01970111574854658,0.46995573944430047,0.7037147905560145,0.08540131083990733,0.7973117710613303,0.8093473582631525
top_10,concept-fusion,hm3d,00890,0.7708615455749815,0.7286831285876965,0.018421809811537907,0.5071111121883122,0.7200629979258739,0.06944959802102658,0.7829241605452523,0.7887660004261943
top_10,concept-fusion,replica,office0,0.7589610705273632,0.7558931064133603,0.05052206774011285,0.4133333345933333,0.7234395144019954,0.09236111111111112,0.7557236327303904,0.767790272937657
top_10,concept-fusion,replica,office1,0.8011409631720546,0.7481902222028382,0.045347947072085,0.23842592835228724,0.7848690782395173,0.06965488215488216,0.8543862936174489,0.8378953640250937
top_10,concept-fusion,replica,office2,0.7207125547717192,0.6881994460394015,0.03761203443021625,0.4906080039762569,0.6827991917526052,0.06123821924603175,0.7528075204812896,0.7499667187627028
top_10,concept-fusion,replica,office3,0.7219639541220326,0.6933406913545405,0.05118695626398708,0.5936688316993491,0.7035120254218236,0.09302660059239007,0.7531624967589495,0.7470705988884949
top_10,concept-fusion,replica,office4,0.754186067246417,0.6947311937029172,0.042653510420268284,0.37515873127657534,0.6983706807854524,0.103182384064737,0.7870061694632292,0.7937101416483364
top_10,concept-fusion,replica,room0,0.7401068828171258,0.7092735426382616,0.04867317552647107,0.4762780878792072,0.7369646466560636,0.13136345552075887,0.781394038310908,0.7667638516862907
top_10,concept-fusion,replica,room1,0.8233970176347102,0.7618985728566532,0.05965452371702371,0.4307359320497166,0.7629196731920276,0.1447687728937729,0.8389500601121854,0.8663402510217857
top_10,concept-fusion,replica,room2,0.7587642036328714,0.7154561867075138,0.04577595545640658,0.43626984209701974,0.6926384338010535,0.152989417989418,0.764612847915237,0.7952190714281216
top_10,concept-fusion,scannetpp,0a76e06478,0.7614447048815124,0.7275399363879311,0.035542823941624245,0.21494676075002003,0.6975616755570991,0.09494919762776906,0.7444497196581139,0.8037903004074922
top_10,concept-fusion,scannetpp,0a7cc12c0e,0.7491561037169787,0.7263877793244949,0.020913107511045654,0.30545635095726803,0.6900402217575924,0.08162623539982031,0.745448442045186,0.7729966106731992
top_10,concept-fusion,scannetpp,1f7cbbdde1,0.7504307364783814,0.7288257169291128,0.02365946805776173,0.3962148972653838,0.7121688152229816,0.10658383904652562,0.7503504848134916,0.7836766471571733
top_10,concept-fusion,scannetpp,49a82360aa,0.6820796703771701,0.6630278831088704,0.024225460074516675,0.41955267036823735,0.6549952627857251,0.06137746226241802,0.6735258265092086,0.7010821426219783
top_10,concept-fusion,scannetpp,4c5c60fa76,0.7282440861234415,0.6956710878508424,0.012797089859500189,0.40382936627609806,0.6795149313754063,0.07927849927849928,0.7132901967433458,0.7620328111969011
top_10,concept-fusion,scannetpp,8a35ef3cfe,0.7452605404005485,0.7314227430736845,0.028636151430269072,0.44047619162273244,0.7515229545546895,0.135345405767941,0.7582209550453595,0.7587877244632857
top_10,concept-fusion,scannetpp,c0f5742640,0.7211648457880545,0.6968368610574899,0.013439955106621776,0.28240740880575765,0.6671940949222487,0.07517522541561003,0.7124514444732788,0.74584005830178
top_10,concept-fusion,scannetpp,fd361ab85f,0.7835187412639553,0.7458680052936291,0.014675697865353037,0.5000000005555556,0.7271951443719927,0.14357142857142857,0.7858722557115144,0.8267650628724752
top_5,concept-fusion,hm3d,00824,0.7810798035302221,0.7415525461201179,0.02631578947368421,0.02976190765159671,0.7518696849318768,0.05270280750736776,0.7820472706228097,0.7899880879295423
top_5,concept-fusion,hm3d,00829,0.8170226445914145,0.7367790056413598,0.024257224257224257,0.4370936365142436,0.7461966775759595,0.0746247365876522,0.8350166493514377,0.8333841051086727
top_5,concept-fusion,hm3d,00843,0.7559434345124283,0.7302268380958729,0.016712878171211504,0.40833333463229166,0.7403974298068702,0.060064935064935064,0.7830619040625921,0.7674437650981878
top_5,concept-fusion,hm3d,00847,0.7992481914322406,0.7436559913356537,0.029603729603729603,0.45925926071769546,0.7395145452046499,0.07681813466127192,0.7955396759884996,0.8092667956107846
top_5,concept-fusion,hm3d,00873,0.7787616629434514,0.7215866293840553,0.02076503099214285,0.4108218674297187,0.7154920781058933,0.08710871964068895,0.7997388848401876,0.8069519351199391
top_5,concept-fusion,hm3d,00877,0.7839352878628568,0.7049833784004133,0.01970111574854658,0.46995573944430047,0.7037147905560145,0.08540131083990733,0.7973115201077068,0.8093473484594874
top_5,concept-fusion,hm3d,00890,0.7708615462531998,0.7286831327016616,0.018421809811537907,0.5071111121883122,0.7200629979258739,0.06944959802102658,0.7829241605452523,0.7887659969957533
top_5,concept-fusion,replica,office0,0.7589610669196774,0.7558930736042918,0.05052206774011285,0.4133333345933333,0.7234395144019954,0.09236111111111112,0.7557236327303904,0.7677902974942924
top_5,concept-fusion,replica,office1,0.8011409631720546,0.7481902222028382,0.045347947072085,0.23842592835228724,0.7848690782395173,0.06965488215488216,0.8543862936174489,0.8378953640250937
top_5,concept-fusion,replica,office2,0.7207125547717192,0.6881994460394015,0.03761203443021625,0.4906080039762569,0.6827991917526052,0.06123821924603175,0.7528075204812896,0.7499667187627028
top_5,concept-fusion,replica,office3,0.7219634970423808,0.6933406511677616,0.05118695626398708,0.5936688316993491,0.7035120254218236,0.09302660059239007,0.7531624967589495,0.7470698178480424
top_5,concept-fusion,replica,office4,0.754186067246417,0.6947311937029172,0.042653510420268284,0.37515873127657534,0.6983706807854524,0.103182384064737,0.7870061694632292,0.7937101416483364
top_5,concept-fusion,replica,room0,0.7401068828171258,0.7092735426382616,0.04867317552647107,0.4762780878792072,0.7369646466560636,0.13136345552075887,0.781394038310908,0.7667638516862907
top_5,concept-fusion,replica,room1,0.8233970176347102,0.7618985728566532,0.05965452371702371,0.4307359320497166,0.7629196731920276,0.1447687728937729,0.8389500601121854,0.8663402510217857
top_5,concept-fusion,replica,room2,0.7587642036328714,0.7154561867075138,0.04577595545640658,0.43626984209701974,0.6926384338010535,0.152989417989418,0.764612847915237,0.7952190714281216
top_5,concept-fusion,scannetpp,0a76e06478,0.7614447048815124,0.7275399363879311,0.035542823941624245,0.21494676075002003,0.6975616755570991,0.09494919762776906,0.7444497196581139,0.8037903004074922
top_5,concept-fusion,scannetpp,0a7cc12c0e,0.7491561037169787,0.7263877793244949,0.020913107511045654,0.30545635095726803,0.6900402217575924,0.08162623539982031,0.745448442045186,0.7729966106731992
top_5,concept-fusion,scannetpp,1f7cbbdde1,0.7504306983050596,0.7288257402441336,0.02365946805776173,0.3962148972653838,0.7121688152229816,0.10658383904652562,0.7503493883270728,0.7836765083180094
top_5,concept-fusion,scannetpp,49a82360aa,0.6820797161209926,0.6630278893090683,0.024225460074516675,0.41955267036823735,0.6549952627857251,0.06137746226241802,0.673526115795519,0.7010821714982162
top_5,concept-fusion,scannetpp,4c5c60fa76,0.7282442163031266,0.6956712932596224,0.012797089859500189,0.40382936627609806,0.6795148059232041,0.07927849927849928,0.713290295982789,0.7620329747795805
top_5,concept-fusion,scannetpp,8a35ef3cfe,0.7452605134889748,0.7314227928351911,0.028636151430269072,0.44047619162273244,0.7515229545546895,0.135345405767941,0.758221989453926,0.7587876356938829
top_5,concept-fusion,scannetpp,c0f5742640,0.7211647868638976,0.6968367332603822,0.013439955106621776,0.28240740880575765,0.6671940949222487,0.07517522541561003,0.7124514444732788,0.7458400640612842
top_5,concept-fusion,scannetpp,fd361ab85f,0.7835187441573119,0.7458680189763898,0.014675697865353037,0.5000000005555556,0.7271951443719927,0.14357142857142857,0.7858722557115144,0.8267650751995881
